year,period,periodName,Total Employment (%),Employment among men (%),Employment among women (%),date
1948,1,January,56.6,83.8,30.9,1/1/1948
1948,2,February,56.7,83.9,31,2/1/1948
1948,3,March,56.1,83,30.7,3/1/1948
1948,4,April,56.7,83.3,31.6,4/1/1948
1948,5,May,56.2,83.1,30.9,5/1/1948
1948,6,June,57,83.7,31.9,6/1/1948
1948,7,July,57.1,83.8,32,7/1/1948
1948,8,August,56.6,83.5,31.3,8/1/1948
1948,9,September,56.6,83.2,31.7,9/1/1948
1948,10,October,56.5,83.5,31.1,10/1/1948
1948,11,November,56.5,83.3,31.3,11/1/1948
1948,12,December,56.8,83.5,31.6,12/1/1948
1949,1,January,56.2,82.8,31.2,1/1/1949
1949,2,February,56.2,82.6,31.5,2/1/1949
1949,3,March,56,82.1,31.5,3/1/1949
1949,4,April,55.7,82,31,4/1/1949
1949,5,May,55.4,81.3,31.1,5/1/1949
1949,6,June,55,80.9,30.7,6/1/1949
1949,7,July,55,80.4,31.1,7/1/1949
1949,8,August,55.1,80.7,31.2,8/1/1949
1949,9,September,55.3,81,31.1,9/1/1949
1949,10,October,54.9,80,31.3,10/1/1949
1949,11,November,55.6,81.2,31.6,11/1/1949
1949,12,December,55.3,81,31.3,12/1/1949
1950,1,January,55.1,80.7,31.1,1/1/1950
1950,2,February,55.1,80.7,31.1,2/1/1950
1950,3,March,55.1,80.7,31,3/1/1950
1950,4,April,55.8,81.1,32.1,4/1/1950
1950,5,May,55.8,81.6,31.6,5/1/1950
1950,6,June,56.2,81.8,32.1,6/1/1950
1950,7,July,56.1,82,31.8,7/1/1950
1950,8,August,56.8,82.8,32.5,8/1/1950
1950,9,September,56.6,82.9,32,9/1/1950
1950,10,October,56.9,83,32.6,10/1/1950
1950,11,November,56.9,83.1,32.6,11/1/1950
1950,12,December,56.7,83,32.4,12/1/1950
1951,1,January,56.9,83.1,32.7,1/1/1951
1951,2,February,57,83.7,32.6,2/1/1951
1951,3,March,57.7,84.5,33.3,3/1/1951
1951,4,April,57.3,84.1,32.9,4/1/1951
1951,5,May,57.6,84.5,33.2,5/1/1951
1951,6,June,57.1,84,32.7,6/1/1951
1951,7,July,57.6,83.9,33.8,7/1/1951
1951,8,August,57.4,84.1,33.3,8/1/1951
1951,9,September,57.1,84,32.9,9/1/1951
1951,10,October,57.3,84.1,33.2,10/1/1951
1951,11,November,57.1,83.8,33.1,11/1/1951
1951,12,December,57.7,84.5,33.6,12/1/1951
1952,1,January,57.7,84.4,33.7,1/1/1952
1952,2,February,57.7,84.5,33.5,2/1/1952
1952,3,March,57.1,84.2,32.9,3/1/1952
1952,4,April,57.1,84,33.1,4/1/1952
1952,5,May,57.3,84.2,33.3,5/1/1952
1952,6,June,57.3,84,33.4,6/1/1952
1952,7,July,57,83.7,33.1,7/1/1952
1952,8,August,56.8,83.2,33.1,8/1/1952
1952,9,September,57.4,83.3,34.2,9/1/1952
1952,10,October,56.9,83.4,33.3,10/1/1952
1952,11,November,57.5,83.5,34.2,11/1/1952
1952,12,December,57.6,84.3,33.8,12/1/1952
1953,1,January,57.8,84.1,34.1,1/1/1953
1953,2,February,58,84.7,33.9,2/1/1953
1953,3,March,58.1,84.7,34.1,3/1/1953
1953,4,April,57.5,84,33.6,4/1/1953
1953,5,May,57.1,83.7,33.1,5/1/1953
1953,6,June,57.4,83.8,33.7,6/1/1953
1953,7,July,57.4,83.8,33.6,7/1/1953
1953,8,August,57.1,83.6,33.2,8/1/1953
1953,9,September,56.8,83.1,33.1,9/1/1953
1953,10,October,56.7,82.9,33.1,10/1/1953
1953,11,November,56.5,83,32.6,11/1/1953
1953,12,December,55.7,82.2,31.9,12/1/1953
1954,1,January,55.7,82,31.9,1/1/1954
1954,2,February,56.2,82,33,2/1/1954
1954,3,March,55.7,81,32.9,3/1/1954
1954,4,April,55.7,81.1,32.7,4/1/1954
1954,5,May,55.4,80.8,32.4,5/1/1954
1954,6,June,55.2,80.7,32.2,6/1/1954
1954,7,July,55,80.6,31.9,7/1/1954
1954,8,August,55.2,80.8,32.1,8/1/1954
1954,9,September,55.5,80.9,32.7,9/1/1954
1954,10,October,55.5,80.6,32.8,10/1/1954
1954,11,November,55.5,80.7,32.7,11/1/1954
1954,12,December,55.2,80.6,32.3,12/1/1954
1955,1,January,55.7,81,32.9,1/1/1955
1955,2,February,55.7,81,32.8,2/1/1955
1955,3,March,55.8,81.2,32.8,3/1/1955
1955,4,April,56.2,81.2,33.6,4/1/1955
1955,5,May,56.3,81.6,33.3,5/1/1955
1955,6,June,56.3,81.5,33.5,6/1/1955
1955,7,July,56.9,82.1,34.2,7/1/1955
1955,8,August,57.1,82,34.6,8/1/1955
1955,9,September,57.2,82.4,34.4,9/1/1955
1955,10,October,57.2,82.3,34.5,10/1/1955
1955,11,November,57.4,82.5,34.7,11/1/1955
1955,12,December,57.7,82.7,35.2,12/1/1955
1956,1,January,57.8,82.9,35,1/1/1956
1956,2,February,57.5,82.6,34.8,2/1/1956
1956,3,March,57.3,82.5,34.5,3/1/1956
1956,4,April,57.5,82.5,34.9,4/1/1956
1956,5,May,57.6,82.4,35.2,5/1/1956
1956,6,June,57.5,82.3,35.1,6/1/1956
1956,7,July,57.5,82.2,35,7/1/1956
1956,8,August,57.6,82.3,35.2,8/1/1956
1956,9,September,57.6,82.1,35.4,9/1/1956
1956,10,October,57.5,82,35.2,10/1/1956
1956,11,November,57.3,81.7,35.1,11/1/1956
1956,12,December,57.3,81.7,35.2,12/1/1956
1957,1,January,57,81.5,34.9,1/1/1957
1957,2,February,57.5,81.9,35.4,2/1/1957
1957,3,March,57.6,82.2,35.4,3/1/1957
1957,4,April,57.2,81.8,35,4/1/1957
1957,5,May,57.1,81.7,34.9,5/1/1957
1957,6,June,57.2,81.8,35,6/1/1957
1957,7,July,57.5,81.8,35.4,7/1/1957
1957,8,August,56.9,81.2,34.9,8/1/1957
1957,9,September,57,81,35.2,9/1/1957
1957,10,October,56.8,80.7,35.2,10/1/1957
1957,11,November,56.4,80.1,35,11/1/1957
1957,12,December,56.6,80.1,35.3,12/1/1957
1958,1,January,55.9,79.3,34.7,1/1/1958
1958,2,February,55.5,78.7,34.6,2/1/1958
1958,3,March,55.3,78.3,34.6,3/1/1958
1958,4,April,55.2,78.1,34.5,4/1/1958
1958,5,May,55.4,78.3,34.6,5/1/1958
1958,6,June,55.2,78.1,34.5,6/1/1958
1958,7,July,55.2,78.2,34.3,7/1/1958
1958,8,August,55.4,78.3,34.6,8/1/1958
1958,9,September,55.4,78.6,34.4,9/1/1958
1958,10,October,55.6,78.9,34.5,10/1/1958
1958,11,November,55.5,78.7,34.6,11/1/1958
1958,12,December,55.5,78.6,34.6,12/1/1958
1959,1,January,55.7,78.8,34.8,1/1/1959
1959,2,February,55.5,78.7,34.6,2/1/1959
1959,3,March,56,79.3,34.8,3/1/1959
1959,4,April,56.3,79.8,35,4/1/1959
1959,5,May,56.2,79.6,35,5/1/1959
1959,6,June,56.3,79.5,35.2,6/1/1959
1959,7,July,56.3,79.8,35,7/1/1959
1959,8,August,56.1,79.4,35,8/1/1959
1959,9,September,56,79.3,34.9,9/1/1959
1959,10,October,56.1,79.2,35.1,10/1/1959
1959,11,November,55.7,78.6,34.9,11/1/1959
1959,12,December,56.3,79.7,35.1,12/1/1959
1960,1,January,56,79.4,34.9,1/1/1960
1960,2,February,56.2,79.6,35.1,2/1/1960
1960,3,March,55.4,78.5,34.5,3/1/1960
1960,4,April,56.4,79.4,35.7,4/1/1960
1960,5,May,56.4,79.2,35.8,5/1/1960
1960,6,June,56.5,78.9,36.2,6/1/1960
1960,7,July,56.2,78.7,35.8,7/1/1960
1960,8,August,56.1,78.7,35.7,8/1/1960
1960,9,September,56.4,78.9,36.1,9/1/1960
1960,10,October,55.8,78.5,35.3,10/1/1960
1960,11,November,56.1,78.7,35.7,11/1/1960
