"year","period","periodName","footnotes","LNS12300000","LNS12300001","LNS12300002","date"
1948,"M01","January","",56.6,83.8,30.9,1948-01-01
1948,"M02","February","",56.7,83.9,31,1948-02-01
1948,"M03","March","",56.1,83,30.7,1948-03-01
1948,"M04","April","",56.7,83.3,31.6,1948-04-01
1948,"M05","May","",56.2,83.1,30.9,1948-05-01
1948,"M06","June","",57,83.7,31.9,1948-06-01
1948,"M07","July","",57.1,83.8,32,1948-07-01
1948,"M08","August","",56.6,83.5,31.3,1948-08-01
1948,"M09","September","",56.6,83.2,31.7,1948-09-01
1948,"M10","October","",56.5,83.5,31.1,1948-10-01
1948,"M11","November","",56.5,83.3,31.3,1948-11-01
1948,"M12","December","",56.8,83.5,31.6,1948-12-01
1949,"M01","January","",56.2,82.8,31.2,1949-01-01
1949,"M02","February","",56.2,82.6,31.5,1949-02-01
1949,"M03","March","",56,82.1,31.5,1949-03-01
1949,"M04","April","",55.7,82,31,1949-04-01
1949,"M05","May","",55.4,81.3,31.1,1949-05-01
1949,"M06","June","",55,80.9,30.7,1949-06-01
1949,"M07","July","",55,80.4,31.1,1949-07-01
1949,"M08","August","",55.1,80.7,31.2,1949-08-01
1949,"M09","September","",55.3,81,31.1,1949-09-01
1949,"M10","October","",54.9,80,31.3,1949-10-01
1949,"M11","November","",55.6,81.2,31.6,1949-11-01
1949,"M12","December","",55.3,81,31.3,1949-12-01
1950,"M01","January","",55.1,80.7,31.1,1950-01-01
1950,"M02","February","",55.1,80.7,31.1,1950-02-01
1950,"M03","March","",55.1,80.7,31,1950-03-01
1950,"M04","April","",55.8,81.1,32.1,1950-04-01
1950,"M05","May","",55.8,81.6,31.6,1950-05-01
1950,"M06","June","",56.2,81.8,32.1,1950-06-01
1950,"M07","July","",56.1,82,31.8,1950-07-01
1950,"M08","August","",56.8,82.8,32.5,1950-08-01
1950,"M09","September","",56.6,82.9,32,1950-09-01
1950,"M10","October","",56.9,83,32.6,1950-10-01
1950,"M11","November","",56.9,83.1,32.6,1950-11-01
1950,"M12","December","",56.7,83,32.4,1950-12-01
1951,"M01","January","",56.9,83.1,32.7,1951-01-01
1951,"M02","February","",57,83.7,32.6,1951-02-01
1951,"M03","March","",57.7,84.5,33.3,1951-03-01
1951,"M04","April","",57.3,84.1,32.9,1951-04-01
1951,"M05","May","",57.6,84.5,33.2,1951-05-01
1951,"M06","June","",57.1,84,32.7,1951-06-01
1951,"M07","July","",57.6,83.9,33.8,1951-07-01
1951,"M08","August","",57.4,84.1,33.3,1951-08-01
1951,"M09","September","",57.1,84,32.9,1951-09-01
1951,"M10","October","",57.3,84.1,33.2,1951-10-01
1951,"M11","November","",57.1,83.8,33.1,1951-11-01
1951,"M12","December","",57.7,84.5,33.6,1951-12-01
1952,"M01","January","",57.7,84.4,33.7,1952-01-01
1952,"M02","February","",57.7,84.5,33.5,1952-02-01
1952,"M03","March","",57.1,84.2,32.9,1952-03-01
1952,"M04","April","",57.1,84,33.1,1952-04-01
1952,"M05","May","",57.3,84.2,33.3,1952-05-01
1952,"M06","June","",57.3,84,33.4,1952-06-01
1952,"M07","July","",57,83.7,33.1,1952-07-01
1952,"M08","August","",56.8,83.2,33.1,1952-08-01
1952,"M09","September","",57.4,83.3,34.2,1952-09-01
1952,"M10","October","",56.9,83.4,33.3,1952-10-01
1952,"M11","November","",57.5,83.5,34.2,1952-11-01
1952,"M12","December","",57.6,84.3,33.8,1952-12-01
1953,"M01","January","",57.8,84.1,34.1,1953-01-01
1953,"M02","February","",58,84.7,33.9,1953-02-01
1953,"M03","March","",58.1,84.7,34.1,1953-03-01
1953,"M04","April","",57.5,84,33.6,1953-04-01
