"year","period","periodName","footnotes","LNS12324885","LNS12324886","date"
1948,"M01","January","",69.6,42.8,1948-01-01
1948,"M02","February","",69.7,42.4,1948-02-01
1948,"M03","March","",67.9,41.7,1948-03-01
1948,"M04","April","",69.1,42,1948-04-01
1948,"M05","May","",68.9,41,1948-05-01
1948,"M06","June","",70.1,42.2,1948-06-01
1948,"M07","July","",71,40.6,1948-07-01
1948,"M08","August","",70,40.6,1948-08-01
1948,"M09","September","",70.1,40.9,1948-09-01
1948,"M10","October","",69.9,40,1948-10-01
1948,"M11","November","",70,40.2,1948-11-01
1948,"M12","December","",70.4,41,1948-12-01
1949,"M01","January","",69.7,39.6,1949-01-01
1949,"M02","February","",69.2,40.7,1949-02-01
1949,"M03","March","",68.3,42.6,1949-03-01
1949,"M04","April","",68.7,39.4,1949-04-01
1949,"M05","May","",68.6,40.2,1949-05-01
1949,"M06","June","",66.7,38.8,1949-06-01
1949,"M07","July","",66.1,39.6,1949-07-01
1949,"M08","August","",66.1,39.9,1949-08-01
1949,"M09","September","",67.5,39.6,1949-09-01
1949,"M10","October","",65.4,40,1949-10-01
1949,"M11","November","",68.2,40,1949-11-01
1949,"M12","December","",67.6,39.9,1949-12-01
1950,"M01","January","",67.2,39.7,1950-01-01
1950,"M02","February","",67.3,39.7,1950-02-01
1950,"M03","March","",67.4,38.8,1950-03-01
1950,"M04","April","",68.9,40.2,1950-04-01
1950,"M05","May","",68.8,39.3,1950-05-01
1950,"M06","June","",68.9,38.7,1950-06-01
1950,"M07","July","",70,37.9,1950-07-01
1950,"M08","August","",70.7,40.5,1950-08-01
1950,"M09","September","",70.9,40.8,1950-09-01
1950,"M10","October","",72.3,42.1,1950-10-01
1950,"M11","November","",72,41.6,1950-11-01
1950,"M12","December","",72,41.8,1950-12-01
1951,"M01","January","",71.1,42.4,1951-01-01
1951,"M02","February","",72.6,41.8,1951-02-01
1951,"M03","March","",74.3,42.9,1951-03-01
1951,"M04","April","",72.3,41.8,1951-04-01
1951,"M05","May","",73.4,42.9,1951-05-01
1951,"M06","June","",72,42.1,1951-06-01
1951,"M07","July","",71.6,43,1951-07-01
1951,"M08","August","",72.9,42.1,1951-08-01
1951,"M09","September","",73.2,41,1951-09-01
1951,"M10","October","",73,41.8,1951-10-01
1951,"M11","November","",72.3,41.4,1951-11-01
1951,"M12","December","",73.8,42.7,1951-12-01
1952,"M01","January","",72,41.9,1952-01-01
1952,"M02","February","",72.8,41.1,1952-02-01
1952,"M03","March","",71.5,40.5,1952-03-01
1952,"M04","April","",70.5,41.4,1952-04-01
1952,"M05","May","",71.3,40.8,1952-05-01
1952,"M06","June","",71.2,42,1952-06-01
1952,"M07","July","",70.4,40.4,1952-07-01
1952,"M08","August","",68.5,40.5,1952-08-01
1952,"M09","September","",66.2,41.3,1952-09-01
1952,"M10","October","",67.4,40,1952-10-01
1952,"M11","November","",68.4,41.4,1952-11-01
1952,"M12","December","",70.3,40.7,1952-12-01
1953,"M01","January","",72.9,41.3,1953-01-01
1953,"M02","February","",73.7,42.6,1953-02-01
1953,"M03","March","",71.4,42.3,1953-03-01
1953,"M04","April","",70.2,41.7,1953-04-01
1953,"M05","May","",69.8,41.5,1953-05-01
1953,"M06","June","",69,41.4,1953-06-01
1953,"M07","July","",68.5,40.8,1953-07-01
1953,"M08","August","",67.7,40.3,1953-08-01
1953,"M09","September","",66.5,40.5,1953-09-01
1953,"M10","October","",65.8,38.9,1953-10-01
1953,"M11","November","",67.6,38,1953-11-01
1953,"M12","December","",65.9,37,1953-12-01
1954,"M01","January","",65.8,37.6,1954-01-01
1954,"M02","February","",65.3,38.5,1954-02-01
1954,"M03","March","",64.2,40.6,1954-03-01
1954,"M04","April","",64.2,39,1954-04-01
1954,"M05","May","",63.8,38.4,1954-05-01
