"Year","Measure","Value"
1940,"Men with a college degree in the U.S. (%)",5.5
1947,"Men with a college degree in the U.S. (%)",6.2
1950,"Men with a college degree in the U.S. (%)",7.3
1952,"Men with a college degree in the U.S. (%)",8.3
1957,"Men with a college degree in the U.S. (%)",9.6
1959,"Men with a college degree in the U.S. (%)",10.3
1962,"Men with a college degree in the U.S. (%)",11.4
1964,"Men with a college degree in the U.S. (%)",11.7
1965,"Men with a college degree in the U.S. (%)",12
1966,"Men with a college degree in the U.S. (%)",12.5
1967,"Men with a college degree in the U.S. (%)",12.8
1968,"Men with a college degree in the U.S. (%)",13.3
1969,"Men with a college degree in the U.S. (%)",13.6
1970,"Men with a college degree in the U.S. (%)",14.1
1971,"Men with a college degree in the U.S. (%)",14.6
1972,"Men with a college degree in the U.S. (%)",15.4
1973,"Men with a college degree in the U.S. (%)",16
1974,"Men with a college degree in the U.S. (%)",16.9
1975,"Men with a college degree in the U.S. (%)",17.6
1976,"Men with a college degree in the U.S. (%)",18.6
1977,"Men with a college degree in the U.S. (%)",19.2
1978,"Men with a college degree in the U.S. (%)",19.7
1979,"Men with a college degree in the U.S. (%)",20.4
1980,"Men with a college degree in the U.S. (%)",20.9
1981,"Men with a college degree in the U.S. (%)",21.1
1982,"Men with a college degree in the U.S. (%)",21.9
1983,"Men with a college degree in the U.S. (%)",23
1984,"Men with a college degree in the U.S. (%)",22.9
1985,"Men with a college degree in the U.S. (%)",23.1
1986,"Men with a college degree in the U.S. (%)",23.2
1987,"Men with a college degree in the U.S. (%)",23.6
1988,"Men with a college degree in the U.S. (%)",24
1989,"Men with a college degree in the U.S. (%)",24.5
1990,"Men with a college degree in the U.S. (%)",24.4
1991,"Men with a college degree in the U.S. (%)",24.3
1992,"Men with a college degree in the U.S. (%)",24.3
1993,"Men with a college degree in the U.S. (%)",24.8
1994,"Men with a college degree in the U.S. (%)",25.1
1995,"Men with a college degree in the U.S. (%)",26
1996,"Men with a college degree in the U.S. (%)",26
1997,"Men with a college degree in the U.S. (%)",26.2
1998,"Men with a college degree in the U.S. (%)",26.5
1999,"Men with a college degree in the U.S. (%)",27.5
2000,"Men with a college degree in the U.S. (%)",27.8
2001,"Men with a college degree in the U.S. (%)",28.2
2002,"Men with a college degree in the U.S. (%)",28.5
2003,"Men with a college degree in the U.S. (%)",28.9
2004,"Men with a college degree in the U.S. (%)",29.4
2005,"Men with a college degree in the U.S. (%)",28.9
2006,"Men with a college degree in the U.S. (%)",29.2
2007,"Men with a college degree in the U.S. (%)",29.5
2008,"Men with a college degree in the U.S. (%)",30.1
2009,"Men with a college degree in the U.S. (%)",30.1
2010,"Men with a college degree in the U.S. (%)",30.3
2011,"Men with a college degree in the U.S. (%)",30.8
2012,"Men with a college degree in the U.S. (%)",31.4
2013,"Men with a college degree in the U.S. (%)",32
2014,"Men with a college degree in the U.S. (%)",31.9
2015,"Men with a college degree in the U.S. (%)",32.3
2016,"Men with a college degree in the U.S. (%)",33.2
2017,"Men with a college degree in the U.S. (%)",33.7
2018,"Men with a college degree in the U.S. (%)",34.6
2019,"Men with a college degree in the U.S. (%)",35.4
2020,"Men with a college degree in the U.S. (%)",36.7
2021,"Men with a college degree in the U.S. (%)",36.6
1940,"Women with a college degree in the U.S. (%)",3.8
1947,"Women with a college degree in the U.S. (%)",4.7
1950,"Women with a college degree in the U.S. (%)",5.2
1952,"Women with a college degree in the U.S. (%)",5.8
1957,"Women with a college degree in the U.S. (%)",5.8
1959,"Women with a college degree in the U.S. (%)",6
1962,"Women with a college degree in the U.S. (%)",6.7
1964,"Women with a college degree in the U.S. (%)",6.8
1965,"Women with a college degree in the U.S. (%)",7.1
1966,"Women with a college degree in the U.S. (%)",7.4
1967,"Women with a college degree in the U.S. (%)",7.6
1968,"Women with a college degree in the U.S. (%)",8
1969,"Women with a college degree in the U.S. (%)",8.1
1970,"Women with a college degree in the U.S. (%)",8.2
1971,"Women with a college degree in the U.S. (%)",8.5
1972,"Women with a college degree in the U.S. (%)",9
1973,"Women with a college degree in the U.S. (%)",9.6
1974,"Women with a college degree in the U.S. (%)",10.1
1975,"Women with a college degree in the U.S. (%)",10.6
1976,"Women with a college degree in the U.S. (%)",11.3
1977,"Women with a college degree in the U.S. (%)",12
1978,"Women with a college degree in the U.S. (%)",12.2
1979,"Women with a college degree in the U.S. (%)",12.9
1980,"Women with a college degree in the U.S. (%)",13.6
1981,"Women with a college degree in the U.S. (%)",13.4
1982,"Women with a college degree in the U.S. (%)",14
1983,"Women with a college degree in the U.S. (%)",15.1
1984,"Women with a college degree in the U.S. (%)",15.7
1985,"Women with a college degree in the U.S. (%)",16
1986,"Women with a college degree in the U.S. (%)",16.1
1987,"Women with a college degree in the U.S. (%)",16.5
1988,"Women with a college degree in the U.S. (%)",17
1989,"Women with a college degree in the U.S. (%)",18.1
1990,"Women with a college degree in the U.S. (%)",18.4
1991,"Women with a college degree in the U.S. (%)",18.8
1992,"Women with a college degree in the U.S. (%)",18.6
1993,"Women with a college degree in the U.S. (%)",19.2
1994,"Women with a college degree in the U.S. (%)",19.6
1995,"Women with a college degree in the U.S. (%)",20.2
1996,"Women with a college degree in the U.S. (%)",21.4
1997,"Women with a college degree in the U.S. (%)",21.7
1998,"Women with a college degree in the U.S. (%)",22.4
1999,"Women with a college degree in the U.S. (%)",23.1
2000,"Women with a college degree in the U.S. (%)",23.6
2001,"Women with a college degree in the U.S. (%)",24.3
2002,"Women with a college degree in the U.S. (%)",25.1
2003,"Women with a college degree in the U.S. (%)",25.7
2004,"Women with a college degree in the U.S. (%)",26.1
2005,"Women with a college degree in the U.S. (%)",26.5
2006,"Women with a college degree in the U.S. (%)",26.9
2007,"Women with a college degree in the U.S. (%)",28
2008,"Women with a college degree in the U.S. (%)",28.8
2009,"Women with a college degree in the U.S. (%)",29.1
2010,"Women with a college degree in the U.S. (%)",29.6
2011,"Women with a college degree in the U.S. (%)",30.1
2012,"Women with a college degree in the U.S. (%)",30.6
2013,"Women with a college degree in the U.S. (%)",31.4
2014,"Women with a college degree in the U.S. (%)",32
2015,"Women with a college degree in the U.S. (%)",32.7
2016,"Women with a college degree in the U.S. (%)",33.7
2017,"Women with a college degree in the U.S. (%)",34.6
2018,"Women with a college degree in the U.S. (%)",35.3
2019,"Women with a college degree in the U.S. (%)",36.6
2020,"Women with a college degree in the U.S. (%)",38.3
2021,"Women with a college degree in the U.S. (%)",39.1
