"year","period","periodName","Employment among men 16-24 (%)","Employment among women 16-24 (%)","date"
1948,1,"January",69.6,42.8,"1948-01-01"
1948,2,"February",69.7,42.4,"1948-02-01"
1948,3,"March",67.9,41.7,"1948-03-01"
1948,4,"April",69.1,42,"1948-04-01"
1948,5,"May",68.9,41,"1948-05-01"
1948,6,"June",70.1,42.2,"1948-06-01"
1948,7,"July",71,40.6,"1948-07-01"
1948,8,"August",70,40.6,"1948-08-01"
1948,9,"September",70.1,40.9,"1948-09-01"
1948,10,"October",69.9,40,"1948-10-01"
1948,11,"November",70,40.2,"1948-11-01"
1948,12,"December",70.4,41,"1948-12-01"
1949,1,"January",69.7,39.6,"1949-01-01"
1949,2,"February",69.2,40.7,"1949-02-01"
1949,3,"March",68.3,42.6,"1949-03-01"
1949,4,"April",68.7,39.4,"1949-04-01"
1949,5,"May",68.6,40.2,"1949-05-01"
1949,6,"June",66.7,38.8,"1949-06-01"
1949,7,"July",66.1,39.6,"1949-07-01"
1949,8,"August",66.1,39.9,"1949-08-01"
1949,9,"September",67.5,39.6,"1949-09-01"
1949,10,"October",65.4,40,"1949-10-01"
1949,11,"November",68.2,40,"1949-11-01"
1949,12,"December",67.6,39.9,"1949-12-01"
1950,1,"January",67.2,39.7,"1950-01-01"
1950,2,"February",67.3,39.7,"1950-02-01"
1950,3,"March",67.4,38.8,"1950-03-01"
1950,4,"April",68.9,40.2,"1950-04-01"
1950,5,"May",68.8,39.3,"1950-05-01"
1950,6,"June",68.9,38.7,"1950-06-01"
1950,7,"July",70,37.9,"1950-07-01"
1950,8,"August",70.7,40.5,"1950-08-01"
1950,9,"September",70.9,40.8,"1950-09-01"
1950,10,"October",72.3,42.1,"1950-10-01"
1950,11,"November",72,41.6,"1950-11-01"
1950,12,"December",72,41.8,"1950-12-01"
1951,1,"January",71.1,42.4,"1951-01-01"
1951,2,"February",72.6,41.8,"1951-02-01"
1951,3,"March",74.3,42.9,"1951-03-01"
1951,4,"April",72.3,41.8,"1951-04-01"
1951,5,"May",73.4,42.9,"1951-05-01"
1951,6,"June",72,42.1,"1951-06-01"
1951,7,"July",71.6,43,"1951-07-01"
1951,8,"August",72.9,42.1,"1951-08-01"
1951,9,"September",73.2,41,"1951-09-01"
1951,10,"October",73,41.8,"1951-10-01"
1951,11,"November",72.3,41.4,"1951-11-01"
1951,12,"December",73.8,42.7,"1951-12-01"
1952,1,"January",72,41.9,"1952-01-01"
1952,2,"February",72.8,41.1,"1952-02-01"
1952,3,"March",71.5,40.5,"1952-03-01"
1952,4,"April",70.5,41.4,"1952-04-01"
1952,5,"May",71.3,40.8,"1952-05-01"
1952,6,"June",71.2,42,"1952-06-01"
1952,7,"July",70.4,40.4,"1952-07-01"
1952,8,"August",68.5,40.5,"1952-08-01"
1952,9,"September",66.2,41.3,"1952-09-01"
1952,10,"October",67.4,40,"1952-10-01"
1952,11,"November",68.4,41.4,"1952-11-01"
1952,12,"December",70.3,40.7,"1952-12-01"
1953,1,"January",72.9,41.3,"1953-01-01"
1953,2,"February",73.7,42.6,"1953-02-01"
1953,3,"March",71.4,42.3,"1953-03-01"
1953,4,"April",70.2,41.7,"1953-04-01"
1953,5,"May",69.8,41.5,"1953-05-01"
1953,6,"June",69,41.4,"1953-06-01"
1953,7,"July",68.5,40.8,"1953-07-01"
1953,8,"August",67.7,40.3,"1953-08-01"
1953,9,"September",66.5,40.5,"1953-09-01"
1953,10,"October",65.8,38.9,"1953-10-01"
1953,11,"November",67.6,38,"1953-11-01"
1953,12,"December",65.9,37,"1953-12-01"
1954,1,"January",65.8,37.6,"1954-01-01"
1954,2,"February",65.3,38.5,"1954-02-01"
1954,3,"March",64.2,40.6,"1954-03-01"
1954,4,"April",64.2,39,"1954-04-01"
1954,5,"May",63.8,38.4,"1954-05-01"
1954,6,"June",62.6,38.3,"1954-06-01"
1954,7,"July",63.1,37.8,"1954-07-01"
1954,8,"August",62.6,38.4,"1954-08-01"
1954,9,"September",62.5,39.3,"1954-09-01"
1954,10,"October",61.4,39.4,"1954-10-01"
1954,11,"November",61.6,39,"1954-11-01"
1954,12,"December",60.3,37.7,"1954-12-01"
1955,1,"January",62.4,38.5,"1955-01-01"
1955,2,"February",63.4,37.9,"1955-02-01"
1955,3,"March",64.1,38.2,"1955-03-01"
1955,4,"April",64.9,38.7,"1955-04-01"
1955,5,"May",64.1,38.6,"1955-05-01"
1955,6,"June",63.5,38.3,"1955-06-01"
1955,7,"July",65,39.7,"1955-07-01"
1955,8,"August",65.7,40.1,"1955-08-01"
1955,9,"September",67.2,39.9,"1955-09-01"
1955,10,"October",68,40.4,"1955-10-01"
1955,11,"November",69.2,41.7,"1955-11-01"
1955,12,"December",68.9,42.5,"1955-12-01"
1956,1,"January",68.9,39.7,"1956-01-01"
1956,2,"February",68.3,40.2,"1956-02-01"
1956,3,"March",67.9,39.3,"1956-03-01"
1956,4,"April",66.6,40.3,"1956-04-01"
1956,5,"May",68.5,40.5,"1956-05-01"
1956,6,"June",68.9,40.9,"1956-06-01"
1956,7,"July",68,40.8,"1956-07-01"
1956,8,"August",67.4,41,"1956-08-01"
1956,9,"September",67.6,41.1,"1956-09-01"
1956,10,"October",66.9,41.1,"1956-10-01"
1956,11,"November",66.5,41,"1956-11-01"
1956,12,"December",66.4,41.5,"1956-12-01"
1957,1,"January",66.2,41.2,"1957-01-01"
1957,2,"February",66.6,40.6,"1957-02-01"
1957,3,"March",67.5,41.1,"1957-03-01"
1957,4,"April",66.3,40.3,"1957-04-01"
1957,5,"May",66.2,40,"1957-05-01"
1957,6,"June",67.2,40.1,"1957-06-01"
1957,7,"July",67.9,40.7,"1957-07-01"
