"year","period","periodName","Employment among men 55+ (%)","Employment among women 55+ (%)","date"
1948,1,"January",68.9,15.8,"1948-01-01"
1948,2,"February",69.3,15.9,"1948-02-01"
1948,3,"March",68,16.7,"1948-03-01"
1948,4,"April",68.4,17,"1948-04-01"
1948,5,"May",68.1,16.8,"1948-05-01"
1948,6,"June",68.6,17.3,"1948-06-01"
1948,7,"July",68.2,17.5,"1948-07-01"
1948,8,"August",68.4,17,"1948-08-01"
1948,9,"September",68,16.8,"1948-09-01"
1948,10,"October",68.4,16.6,"1948-10-01"
1948,11,"November",68.1,16.3,"1948-11-01"
1948,12,"December",68.3,16.8,"1948-12-01"
1949,1,"January",67.4,16.8,"1949-01-01"
1949,2,"February",67,16.8,"1949-02-01"
1949,3,"March",66.4,16.5,"1949-03-01"
1949,4,"April",66.5,16.5,"1949-04-01"
1949,5,"May",65.5,16.7,"1949-05-01"
1949,6,"June",65.7,16.4,"1949-06-01"
1949,7,"July",65.3,16.7,"1949-07-01"
1949,8,"August",64.7,17.4,"1949-08-01"
1949,9,"September",65.1,17.9,"1949-09-01"
1949,10,"October",65.4,18.1,"1949-10-01"
1949,11,"November",65.6,18.2,"1949-11-01"
1949,12,"December",65.6,18.1,"1949-12-01"
1950,1,"January",65.4,17.7,"1950-01-01"
1950,2,"February",65.2,18,"1950-02-01"
1950,3,"March",64.8,18.2,"1950-03-01"
1950,4,"April",64.6,18.3,"1950-04-01"
1950,5,"May",65.7,18.3,"1950-05-01"
1950,6,"June",64.9,18.4,"1950-06-01"
1950,7,"July",65.4,18.3,"1950-07-01"
1950,8,"August",66.1,17.9,"1950-08-01"
1950,9,"September",65.7,17.8,"1950-09-01"
1950,10,"October",65.1,17.8,"1950-10-01"
1950,11,"November",65.2,18.3,"1950-11-01"
1950,12,"December",65,18.1,"1950-12-01"
1951,1,"January",64.6,17.9,"1951-01-01"
1951,2,"February",65,18.5,"1951-02-01"
1951,3,"March",66,19.8,"1951-03-01"
1951,4,"April",66.4,18.5,"1951-04-01"
1951,5,"May",67.2,17.9,"1951-05-01"
1951,6,"June",66.8,18,"1951-06-01"
1951,7,"July",67,17.8,"1951-07-01"
1951,8,"August",66.8,17.8,"1951-08-01"
1951,9,"September",66.2,17.7,"1951-09-01"
1951,10,"October",65.7,17.3,"1951-10-01"
1951,11,"November",65.8,17.8,"1951-11-01"
1951,12,"December",65.9,18,"1951-12-01"
1952,1,"January",66.4,18.2,"1952-01-01"
1952,2,"February",65.8,17.9,"1952-02-01"
1952,3,"March",64.8,17.5,"1952-03-01"
1952,4,"April",65.1,17.6,"1952-04-01"
1952,5,"May",65.4,18.5,"1952-05-01"
1952,6,"June",65.6,17.6,"1952-06-01"
1952,7,"July",65.2,18.4,"1952-07-01"
1952,8,"August",64.8,19.1,"1952-08-01"
1952,9,"September",65.4,20.3,"1952-09-01"
1952,10,"October",65,19.9,"1952-10-01"
1952,11,"November",65.2,21.3,"1952-11-01"
1952,12,"December",65.3,20,"1952-12-01"
1953,1,"January",63.4,20.1,"1953-01-01"
1953,2,"February",64.5,19.4,"1953-02-01"
1953,3,"March",65.8,19.4,"1953-03-01"
1953,4,"April",65.2,18.7,"1953-04-01"
1953,5,"May",64.5,18.7,"1953-05-01"
1953,6,"June",64.5,19.9,"1953-06-01"
1953,7,"July",64.2,20.1,"1953-07-01"
