,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,Target,Target_Num
1,Management Occupations,major,8909910,0.2,123370,0.3,Management Occupations,1
2,Top Executives,minor,3229990,0.4,120520,0.4,Management Occupations,1
3,Chief Executives,broad,200480,1.6,213020,0.8,Management Occupations,1
4,Chief Executives,detailed,200480,1.6,213020,0.8,Management Occupations,1
5,General and Operations Managers,broad,2984920,0.5,115250,0.4,Management Occupations,1
6,General and Operations Managers,detailed,2984920,0.5,115250,0.4,Management Occupations,1
7,Legislators,broad,44590,2.7,57110,1.8,Management Occupations,1
8,Legislators,detailed,44590,2.7,57110,1.8,Management Occupations,1
9,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,838050,0.8,145130,0.4,Management Occupations,1
10,Advertising and Promotions Managers,broad,22520,3.4,142860,1.9,Management Occupations,1
11,Advertising and Promotions Managers,detailed,22520,3.4,142860,1.9,Management Occupations,1
12,Marketing and Sales Managers,broad,732490,0.9,146600,0.4,Management Occupations,1
13,Marketing Managers,detailed,278690,1,153440,0.5,Management Occupations,1
14,Sales Managers,detailed,453800,1.2,142390,0.4,Management Occupations,1
15,Public Relations and Fundraising Managers,broad,83040,1.7,132800,0.7,Management Occupations,1
16,Public Relations Managers,detailed,59850,2.2,138000,0.9,Management Occupations,1
17,Fundraising Managers,detailed,23190,1.8,119400,0.8,Management Occupations,1
18,Operations Specialties Managers,minor,2116020,0.5,139900,0.2,Management Occupations,1
19,Administrative Services and Facilities Managers,broad,325850,0.7,109590,0.3,Management Occupations,1
20,Administrative Services Managers,detailed,224620,0.7,113030,0.4,Management Occupations,1
21,Facilities Managers,detailed,101230,1.3,101970,0.5,Management Occupations,1
22,Computer and Information Systems Managers,broad,485190,0.9,162930,0.3,Management Occupations,1
23,Computer and Information Systems Managers,detailed,485190,0.9,162930,0.3,Management Occupations,1
24,Financial Managers,broad,681070,0.6,153460,0.3,Management Occupations,1
25,Financial Managers,detailed,681070,0.6,153460,0.3,Management Occupations,1
26,Industrial Production Managers,broad,192270,0.6,117780,0.3,Management Occupations,1
27,Industrial Production Managers,detailed,192270,0.6,117780,0.3,Management Occupations,1
28,Purchasing Managers,broad,69310,0.9,134590,0.5,Management Occupations,1
29,Purchasing Managers,detailed,69310,0.9,134590,0.5,Management Occupations,1
30,"Transportation, Storage, and Distribution Managers",broad,144640,1.1,105580,0.6,Management Occupations,1
31,"Transportation, Storage, and Distribution Managers",detailed,144640,1.1,105580,0.6,Management Occupations,1
32,Compensation and Benefits Managers,broad,15330,2.5,139470,1,Management Occupations,1
33,Compensation and Benefits Managers,detailed,15330,2.5,139470,1,Management Occupations,1
34,Human Resources Managers,broad,166530,1.4,136590,0.5,Management Occupations,1
35,Human Resources Managers,detailed,166530,1.4,136590,0.5,Management Occupations,1
36,Training and Development Managers,broad,35830,1.2,128800,0.7,Management Occupations,1
37,Training and Development Managers,detailed,35830,1.2,128800,0.7,Management Occupations,1
38,Other Management Occupations,minor,2725860,0.3,107230,0.3,Management Occupations,1
39,"Farmers, Ranchers, and Other Agricultural Managers",broad,5220,5.6,78440,2,Management Occupations,1
40,"Farmers, Ranchers, and Other Agricultural Managers",detailed,5220,5.6,78440,2,Management Occupations,1
41,Construction Managers,broad,284750,1.5,108210,0.8,Management Occupations,1
42,Construction Managers,detailed,284750,1.5,108210,0.8,Management Occupations,1
43,Education and Childcare Administrators,broad,537100,0.5,99280,0.3,Management Occupations,1
44,"Education and Childcare Administrators, Preschool and Daycare",detailed,56430,2.7,53800,0.9,Management Occupations,1
45,"Education Administrators, Kindergarten through Secondary",detailed,274710,0.8,102650,0.3,Management Occupations,1
46,"Education Administrators, Postsecondary",detailed,155990,0.3,111260,0.3,Management Occupations,1
47,"Education Administrators, All Other",detailed,49970,1.7,94730,0.7,Management Occupations,1
48,Architectural and Engineering Managers,broad,187100,0.9,158970,0.3,Management Occupations,1
49,Architectural and Engineering Managers,detailed,187100,0.9,158970,0.3,Management Occupations,1
50,Food Service Managers,broad,210680,1.9,63970,1.4,Management Occupations,1
51,Food Service Managers,detailed,210680,1.9,63970,1.4,Management Occupations,1
52,Entertainment and Recreation Managers,broad,21460,2.8,76430,1.2,Management Occupations,1
53,Gambling Managers,detailed,3660,3.5,89190,1.6,Management Occupations,1
54,"Entertainment and Recreation Managers, Except Gambling",detailed,17800,3.3,73810,1.4,Management Occupations,1
55,Lodging Managers,broad,35920,2.5,67770,1.8,Management Occupations,1
56,Lodging Managers,detailed,35920,2.5,67770,1.8,Management Occupations,1
57,Medical and Health Services Managers,broad,436770,0.5,119840,0.3,Management Occupations,1
58,Medical and Health Services Managers,detailed,436770,0.5,119840,0.3,Management Occupations,1
59,Natural Sciences Managers,broad,74760,1.6,156110,0.7,Management Occupations,1
60,Natural Sciences Managers,detailed,74760,1.6,156110,0.7,Management Occupations,1
61,Postmasters and Mail Superintendents,broad,12750,0,81820,0,Management Occupations,1
62,Postmasters and Mail Superintendents,detailed,12750,0,81820,0,Management Occupations,1
63,"Property, Real Estate, and Community Association Managers",broad,234680,2.6,70030,1.4,Management Occupations,1
64,"Property, Real Estate, and Community Association Managers",detailed,234680,2.6,70030,1.4,Management Occupations,1
65,Social and Community Service Managers,broad,156400,1,76790,0.5,Management Occupations,1
66,Social and Community Service Managers,detailed,156400,1,76790,0.5,Management Occupations,1
67,Emergency Management Directors,broad,10320,1.6,84800,0.8,Management Occupations,1
68,Emergency Management Directors,detailed,10320,1.6,84800,0.8,Management Occupations,1
69,Personal Service Managers,broad,20060,6.5,74360,2.4,Management Occupations,1
70,Funeral Home Managers,detailed,12710,3.4,82900,1.8,Management Occupations,1
71,"Personal Service Managers, All Other",detailed,7350,21.3,59580,2.1,Management Occupations,1
72,Miscellaneous Managers,broad,497890,0.6,129710,0.4,Management Occupations,1
73,"Managers, All Other",detailed,497890,0.6,129710,0.4,Management Occupations,1
74,Business and Financial Operations Occupations,major,9053790,0.2,82610,0.2,Business and Financial Operations Occupations,2
75,Business Operations Specialists,minor,6152960,0.2,80380,0.3,Business and Financial Operations Occupations,2
76,"Agents and Business Managers of Artists, Performers, and Athletes",broad,12480,8.5,116410,4,Business and Financial Operations Occupations,2
77,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,12480,8.5,116410,4,Business and Financial Operations Occupations,2
78,Buyers and Purchasing Agents,broad,439020,0.6,72540,0.3,Business and Financial Operations Occupations,2
79,Buyers and Purchasing Agents,detailed,439020,0.6,72540,0.3,Business and Financial Operations Occupations,2
80,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,289580,1.3,70850,0.5,Business and Financial Operations Occupations,2
81,"Claims Adjusters, Examiners, and Investigators",detailed,278140,1.4,70960,0.5,Business and Financial Operations Occupations,2
82,"Insurance Appraisers, Auto Damage",detailed,11430,4,68180,1,Business and Financial Operations Occupations,2
83,Compliance Officers,broad,334340,1.5,75810,0.5,Business and Financial Operations Occupations,2
84,Compliance Officers,detailed,334340,1.5,75810,0.5,Business and Financial Operations Occupations,2
85,Cost Estimators,broad,208950,1.1,73740,0.5,Business and Financial Operations Occupations,2
86,Cost Estimators,detailed,208950,1.1,73740,0.5,Business and Financial Operations Occupations,2
87,Human Resources Workers,broad,805080,0.8,71210,0.4,Business and Financial Operations Occupations,2
88,Human Resources Specialists,detailed,740830,0.8,70720,0.4,Business and Financial Operations Occupations,2
89,Farm Labor Contractors,detailed,440,24.9,54400,7.2,Business and Financial Operations Occupations,2
90,Labor Relations Specialists,detailed,63810,1.6,77070,1.1,Business and Financial Operations Occupations,2
91,Logisticians and Project Management Specialists,broad,933180,0.7,94530,0.3,Business and Financial Operations Occupations,2
92,Logisticians,detailed,189320,1,79230,0.5,Business and Financial Operations Occupations,2
93,Project Management Specialists,detailed,743860,0.8,98420,0.4,Business and Financial Operations Occupations,2
94,Management Analysts,broad,768450,1,100530,0.5,Business and Financial Operations Occupations,2
95,Management Analysts,detailed,768450,1,100530,0.5,Business and Financial Operations Occupations,2
96,"Meeting, Convention, and Event Planners",broad,98150,1.9,57850,0.9,Business and Financial Operations Occupations,2
97,"Meeting, Convention, and Event Planners",detailed,98150,1.9,57850,0.9,Business and Financial Operations Occupations,2
98,Fundraisers,broad,82080,1.3,64870,0.6,Business and Financial Operations Occupations,2
99,Fundraisers,detailed,82080,1.3,64870,0.6,Business and Financial Operations Occupations,2
100,"Compensation, Benefits, and Job Analysis Specialists",broad,87750,1.6,73810,0.5,Business and Financial Operations Occupations,2
101,"Compensation, Benefits, and Job Analysis Specialists",detailed,87750,1.6,73810,0.5,Business and Financial Operations Occupations,2
102,Training and Development Specialists,broad,336030,1,67620,0.6,Business and Financial Operations Occupations,2
103,Training and Development Specialists,detailed,336030,1,67620,0.6,Business and Financial Operations Occupations,2
104,Market Research Analysts and Marketing Specialists,broad,727540,1,76080,0.4,Business and Financial Operations Occupations,2
105,Market Research Analysts and Marketing Specialists,detailed,727540,1,76080,0.4,Business and Financial Operations Occupations,2
106,Miscellaneous Business Operations Specialists,broad,1030330,0.6,79240,0.4,Business and Financial Operations Occupations,2
107,"Business Operations Specialists, All Other",detailed,1030330,0.6,79240,0.4,Business and Financial Operations Occupations,2
108,Financial Specialists,minor,2900840,0.5,87350,0.3,Business and Financial Operations Occupations,2
109,Accountants and Auditors,broad,1318550,0.6,83980,0.4,Business and Financial Operations Occupations,2
110,Accountants and Auditors,detailed,1318550,0.6,83980,0.4,Business and Financial Operations Occupations,2
111,Property Appraisers and Assessors,broad,58340,2.2,70050,1.4,Business and Financial Operations Occupations,2
112,Property Appraisers and Assessors,detailed,58340,2.2,70050,1.4,Business and Financial Operations Occupations,2
113,Budget Analysts,broad,47440,1.2,84240,0.4,Business and Financial Operations Occupations,2
114,Budget Analysts,detailed,47440,1.2,84240,0.4,Business and Financial Operations Occupations,2
115,Credit Analysts,broad,68770,1.5,88030,0.8,Business and Financial Operations Occupations,2
116,Credit Analysts,detailed,68770,1.5,88030,0.8,Business and Financial Operations Occupations,2
117,Financial Analysts and Advisors,broad,716930,0.8,106340,0.5,Business and Financial Operations Occupations,2
118,Financial and Investment Analysts,detailed,291880,1.5,103020,0.9,Business and Financial Operations Occupations,2
119,Personal Financial Advisors,detailed,263030,1.6,119960,1,Business and Financial Operations Occupations,2
120,Insurance Underwriters,detailed,107690,2.8,79940,0.9,Business and Financial Operations Occupations,2
121,Financial Risk Specialists,detailed,54320,2.1,110610,0.9,Business and Financial Operations Occupations,2
122,Financial Examiners,broad,60750,1.4,96180,0.6,Business and Financial Operations Occupations,2
123,Financial Examiners,detailed,60750,1.4,96180,0.6,Business and Financial Operations Occupations,2
124,Credit Counselors and Loan Officers,broad,371400,1.1,78040,0.8,Business and Financial Operations Occupations,2
125,Credit Counselors,detailed,31230,3.6,50430,1,Business and Financial Operations Occupations,2
126,Loan Officers,detailed,340170,1.1,80570,0.8,Business and Financial Operations Occupations,2
